[18:22:23] [INFO] received Windows console close event; shutting log-core down
[18:25:30] [INFO] received Windows console close event; shutting log-core down
[18:27:43] [INFO] received Windows console close event; shutting log-core down
[18:30:38] [INFO] received Windows console close event; shutting log-core down
[18:32:52] [INFO] received Windows console close event; shutting log-core down
[18:34:51] [INFO] received Windows console close event; shutting log-core down
[18:36:19] [INFO] received Windows console close event; shutting log-core down
[18:37:15] [INFO] received Windows console close event; shutting log-core down
[18:42:58] [INFO] received Windows console close event; shutting log-core down
[18:47:33] [INFO] received Windows console close event; shutting log-core down
[19:00:28] [INFO] received Windows console close event; shutting log-core down
[19:00:44] [INFO] received Windows console close event; shutting log-core down
[19:01:54] [INFO] received Windows console close event; shutting log-core down
[19:10:19] [INFO] received Windows console close event; shutting log-core down
[19:12:38] [INFO] received Windows console close event; shutting log-core down
[19:14:31] [INFO] received Windows console close event; shutting log-core down
[19:26:00] [INFO] received Windows console close event; shutting log-core down
[19:26:06] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[19:26:14] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[19:26:22] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[19:26:55] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[19:28:33] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[19:29:35] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[19:38:51] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[19:38:57] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[19:39:26] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[19:40:34] [INFO] received Windows console close event; shutting log-core down
[19:40:37] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[19:41:21] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[19:43:05] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[19:45:21] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[19:48:41] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[19:50:13] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[20:01:38] [INFO] received Windows console close event; shutting log-core down
[20:05:11] [INFO] received Windows console close event; shutting log-core down
[20:06:28] [INFO] received Windows console close event; shutting log-core down
[20:07:47] [INFO] received Windows console close event; shutting log-core down
[20:10:07] [INFO] received Windows console close event; shutting log-core down
[20:11:18] [INFO] received Windows console close event; shutting log-core down
[20:12:02] [INFO] received Windows console close event; shutting log-core down
[20:13:01] [INFO] received Windows console close event; shutting log-core down
[20:13:29] [INFO] received Windows console close event; shutting log-core down
[20:14:16] [INFO] received Windows console close event; shutting log-core down
[20:16:26] [INFO] received Windows console close event; shutting log-core down
[19:59:09] [INFO] received Windows console close event; shutting log-core down
